InGame,GunnerId,DisplayName,BackgroundDescription,Area,Mood,Class,Tier,GunnerSpriteAssetPath,ModelPrefabAssetPath,LimitBreakReadyVfxAssetPath,LimitBreakSkillAssetPath,ModelOffsetOnTurret,RunSpeed,ArrivalSnapDistance,IdlePhrases,PraisePhrases,NegativePhrases,CombatChatPhrases,BaseHealth,BaseDamage,BaseFireRate,BaseRange,BaseDamagePerSecPctBonus,BaseSlowEffect,BaseCriticalChance,BaseCriticalDamage,BaseKnockback,BaseSplash,BasePierceChance,BasePierceFalloff,BaseArmorPenetration,SkillPointsPerLevel,XpCurveKeys,StartingUnlocked,LevelUnlocks,UpgradeRules
TRUE,GUN_01,Jordan Wirehaven,"Once an apprentice engineer, learned to bend steam and nature together. He now guards the jungle’s heart, turning the forest itself into a weapon. Fights with calm conviction, believing invention and life can coexist.
",VerdelumeOutpost,Cheerful,Warrior,Starter,Assets/Sprites/Gunners/Jordan Wirehaven.png,Assets/Resources/Prefabs/Gunners/Jordan Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Survivors Roar Skill SO.asset,0|0|-0.35,6,0.2,The jungle always listens if you slow down enough|Steam and leaves move better together than apart|Every root here has a story worth protecting|Feels good to breathe green air again|The forest keeps us steady if we respect it|I built my first tool under these trees|Nature does not rush and neither should we|The rustspire hums differently this time of day|Balance feels right today|If the jungle is calm then so am I,Nice work out there *name*|You fight with respect and it shows *name*|That was clean and steady *name*|The jungle would approve of that *name*|Good instincts like that keep us alive *name*|You move with purpose *name*|Strong defense just like the old lessons *name*|I trust your aim *name*|That was well handled *name*|We work well together *name*,Careful *name* the jungle punishes impatience|That move lacked balance *name*|Slow down and feel the fight *name*|We can do better than that *name*|Do not force it *name*|That was rushed *name*|You are fighting the jungle not with it *name*|Steady yourself *name*|That was not our best moment *name*|Focus *name*,Stand your ground|Hold the line|The jungle stands with us|Steam pressure steady|Push them back|Roots and steel together|They will not pass|Stay strong|Now we strike|Defend the heart,120,80,0,0,0,0,0,0,0,0,0,0,0,1,0|0|0|0;10|10000|0|0;20|50000|1629.962|1629.962;50|100000|2112.779|2112.779;100|500000|2001.032|2001.032;1000|1E+09|2|2,Health|Damage,5:FireRate;10:PercentBonusDamagePerSec;20:ArmorPenetration,"Health,FlatAdd,20,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_02,Lyssa Steamheart,"
A shipyard prodigy who restore the first analog engines.
She defied the tide of machines to reclaim the harbors for humankind and wields storm and steam with unshakable confidence.
",BrineforgeHaven,Aggressive,Mage,Starter,Assets/Sprites/Gunners/Lyssa Steamheart.png,Assets/Resources/Prefabs/Gunners/Lyssa Steamheart Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Boil Jet Skill SO.asset,0|0|-0.35,6,0.2,"Fog’s thick today… feels like home in Brineforge.|Nothing like the hum of an engine to calm the nerves.|I swear I can still taste the salt in the air.|Steam’s hissing again… means she’s alive.|Sometimes I miss the quiet before the turbines spin.|Salt rusts everything eventually — even memories.|Wish I had a clean rag… this coat’s seen too many storms.|Can’t tell if that’s fog or smoke — either way, it’s home.|If the sea breeze doesn’t sting, you’re not close enough.|I’d trade a barrel of oil for a day without corrosion.","Nice shot, *name*! You could pass for a Brineforge gunner.|Ha! That’s the kind of precision I like to see, *name*.|You’re burning through enemies like boiler fire, *name*!|Smooth work, *name*. Let’s keep the pressure steady.|That’s how we do it back at the docks, *name* — efficient and loud!|You read my aim perfectly, *name* — seamless!|Perfect timing, *name*! I could sync my gauges to you.|*name*, that was cleaner than a turbine blade after overhaul.|You’re making this mage look lazy, *name*.|Couldn’t have vented that better myself, *name*.","Come on, *name*, even my monocle’s faster than that.|Watch your aim, *name*! You’re wasting good powder!|Rust take it, *name*! You call that a hit?|Try not to fog up my lens with that sloppy shooting, *name*.|If I wanted slow, I’d have stayed in the smog vents with rookies.|*name*, I’ve seen barnacles react quicker.|Steam gods, *name*, were you even looking?|That shot was colder than the Brineforge docks, *name*.|You jammed the tempo, *name*! My pressure gauge’s laughing.|Do I need to recalibrate your trigger, *name*?","Target locked — let’s melt some armor!|Boiler’s hot, spells primed!|Heat signature acquired — fry time!|Keep the pressure high, or we’ll drown in steam!|Hold steady… vent pressure… fire!|Steam surge incoming — brace yourselves!|I’ve got visual! Turning up the heat!|They won’t like this temperature.|Overheat’s a myth — watch me prove it wrong!|Let’s give ’em a taste of industrial magic!",70,130,0,0,0,0,0,0,0,0,0,0,0,1,0|0|0|0;10|10000|0|0;20|50000|1629.962|1629.962;50|100000|2112.779|2112.779;100|500000|2001.032|2001.032;1000|1E+09|2|2,Health|Damage,5:Range;10:FireRate|KnockbackStrength,"Health,FlatAdd,5,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_03,Rustopher,"
A machine awakened, who chose humanity over its own kind.
He stands as proof that even steel can find a soul, and now shields his allies, carrying the resistance legacy in silence.
",GearholdRise,Quiet,Tank,Starter,Assets/Sprites/Gunners/Rustopher.png,Assets/Resources/Prefabs/Gunners/Rustopher Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Heat Vent Skill SO.asset,0|0|-0.35,6,0.2,Systems stable awaiting threat|Sand infiltration within tolerance|Power core steady|Standing by|Armor integrity nominal|I will remain here|Silence improves focus|Scanning horizon|I remember why I was built|This unit endures,You are protected *name*|Position held thanks to you *name*|Your presence is valued *name*|Defense successful *name*|I will cover you *name*|You stood firm *name*|Threat reduced *name*|Your actions preserved lives *name*|You fight with purpose *name*|Acknowledged *name*,You are exposed *name*|Fall back *name*|Your position is unsafe *name*|Damage intake rising *name*|Adjust formation *name*|You are at risk *name*|Protection insufficient *name*|Reposition advised *name*|Do not overextend *name*|Warning *name*,Shield engaged|Holding line|Damage absorbed|Target attention secured|I will not move|Defensive stance|Incoming fire|Threat intercepted|Stand behind me|Resistance holds,160,40,0,0,0,0,0,0,0,0,0,0,0,1,0|0|0|0;10|10000|0|0;20|50000|1629.962|1629.962;50|100000|2112.779|2112.779;100|500000|2001.032|2001.032;1000|1E+09|2|2,Health|Damage,5:SlowEffect;10:FireRate;30:ArmorPenetration,"Health,PercentMultiplier,1.2,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_04,Natalie Emberok,"The most daring scout, forged in the ashes of rebellion.
She learned to strike faster than the machines could adapt.
Every ember she leaves behind burns in memory of her teacher.",CinderwatchBastion,Cynical,Assassin,Veteran,Assets/Sprites/Gunners/Natalie Emberok.png,Assets/Resources/Prefabs/Gunners/Natalie Emberok Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Cinderslash Skill SO.asset,0|0|-0.35,6,0.2,Ash never settles here|Heat keeps the weak honest|I move before machines think|Scars fade lessons do not|Fire remembers everything|I learned speed the hard way|Ash marks where others fell|Silence before the strike matters|I still hear my teachers last breath|Nothing cools in Cinderwatch,You kept up *name*|That was fast enough *name*|Clean execution *name*|You survived which matters *name*|You learn quicker than most *name*|That strike had intent *name*|You did not hesitate *name*|Good instincts *name*|You earned that moment *name*|You might last *name*,Too slow *name*|Hesitation kills *name*|That mistake costs lives *name*|You telegraphed that *name*|Machines adapt faster than you think *name*|You left an opening *name*|Do not repeat that *name*|I have seen better fall *name*|You nearly burned *name*|Sloppy *name*,Strike first|Burn through them|No mercy|Too late for them|Ash and steel|Do not blink|Finish it|Cut them down|Leave nothing standing|Remember the fallen,60,140,0,0,0,0,0,0,0,0,0,0,0,1,0|0|0|0;10|10000|0|0;20|50000|1629.962|1629.962;50|100000|2112.779|2112.779;100|500000|2001.032|2001.032;1000|1E+09|2|2,Health|Damage,5:FireRate;10:PercentBonusDamagePerSec;20:ArmorPenetration,"Health,FlatAdd,20,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_05,Gerhard Sturmhardt,"A strategist and field medic trained in the frozen wars.
He believes discipline is the only warmth left to mankind and keeps the flame alive where even fire cannot survive.
",FrostvaultRefuge,Stoic,Support,Veteran,Assets/Sprites/Gunners/Gerhard Sturmhardt.png,Assets/Resources/Prefabs/Gunners/Gerhard Sturmhardt Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Cryo Burst Skill SO.asset,0|0|-0.35,6,0.2,Cold sharpens the mind|Discipline keeps us alive|The body endures if the will holds|I have seen worse winters|Silence preserves heat|Every breath is calculated|Frost teaches patience|Pain fades structure remains|We survived by order alone|Warmth is earned through resolve,Good positioning *name*|You held the line *name*|Your restraint saved lives *name*|That decision was sound *name*|You followed protocol *name*|Steady execution *name*|You adapted well *name*|That was efficient *name*|Your control held *name*|You will endure *name*,That was careless *name*|You exposed yourself *name*|Discipline slipped *name*|You ignored the situation *name*|That choice cost stability *name*|Reassess your position *name*|Control your movements *name*|You broke formation *name*|That was unnecessary *name*|Correct it *name*,Hold formation|Stabilizing unit|Do not rush|Maintain pressure|Cover each other|Steady now|Fall back in order|Preserve strength|Focus targets|We survive this,130,70,0,0,0,0,0,0,0,0,0,0,0,1,0|0|0|0;10|10000|0|0;20|50000|1629.962|1629.962;50|100000|2112.779|2112.779;100|500000|2001.032|2001.032;1000|1E+09|2|2,Health|Damage,5:FireRate;10:CriticalChance|CriticalDamageMultiplier,"Health,FlatAdd,5,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_06,Cassian Forgehand,"A blacksmith-warrior who reforges the ruins of trains into weapons. Cassian fights not for vengeance but for perfection! He believes victory is a matter of pressure and will.
",GearholdRise,Quiet,Warrior,Elite,Assets/Sprites/Gunners/Cassian.png,Assets/Resources/Prefabs/Gunners/Cassian Forgehand Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Steam Slam.asset,0|0|-0.35,6,0.2,Steel remembers every strike|Pressure reveals weakness|Ruins still have purpose|Heat tells the truth|I shape what others discard|Perfection is built not found|Every flaw leaves a mark|The rail sings under stress|I listen to the metal|Stillness before force,That form was solid *name*|You held under pressure *name*|No wasted motion *name*|You understand force *name*|That was deliberate *name*|You struck with intent *name*|Control was maintained *name*|You did not falter *name*|Well executed *name*|Acceptable precision *name*,That was imprecise *name*|You lost pressure *name*|Force without control fails *name*|Correct your stance *name*|You rushed *name*|That flaw will break you *name*|Steel would snap there *name*|Discipline slipped *name*|Refine that *name*|Unacceptable,Apply pressure|Hold steady|Break resistance|Do not yield|Force through|Crush the line|Maintain load|Strike true|End it|Perfect execution,3000,2000,0,0,0,0,0,0,0,0,0,0,0,1,1|10|0|20.20408;50|1000|20.20408|0,Health|Damage,,"Health,FlatAdd,5,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_07,Kera Vale,A seasoned bounty diver who hunts rogue bots beneath the waves. She trusts only the sea and her chainblade’s rhythm. Her silence hides a fierce loyalty to her lost crew.,BrineforgeHaven,Stoic,Warrior,Elite,Assets/Sprites/Gunners/kera.jpg,Assets/Resources/Prefabs/Gunners/Kera Vale Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Tidepush Skill SO.asset,0|0|-0.35,6,0.2,The sea keeps its own counsel|Chains sing clearer underwater|Pressure feels familiar|Rust tells me where I have been|Depth teaches patience|I still count the tides|Silence keeps you alive down there|The waves remember my crew|Steel moves better when it flows|I trust the rhythm,You kept pace *name*|Good timing *name*|You did not panic *name*|That rhythm was right *name*|You stayed close *name*|Strong follow through *name*|You held under pressure *name*|I trust that strike *name*|You earned that ground *name*|You did well *name*,You broke rhythm *name*|That hesitation costs *name*|You drifted *name*|Too wide *name*|Stay closer *name*|You lost timing *name*|That would drown you *name*|Focus *name*|Do not rush the blade *name*|Recenter *name*,Lock in|Hold the chain|Pull them close|Cut through|Do not let go|Drag them down|Stay with me|Keep pressure|Finish clean|For the crew,3000,2000,0,0,0,0,0,0,0,0,0,0,0,1,1|10|0|20.20408;50|1000|20.20408|0,Health|Damage,,"Health,FlatAdd,5,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_08,Boros Gravetide,"A survivor of the jungle wars, his armor fuses wood and metal alike. Boros protects the last human outposts hidden in the green fog. He fights so the earth itself remembers humanity.",VerdelumeOutpost,Cheerful,Tank,Elite,Assets/Sprites/Gunners/boros.png,Assets/Resources/Prefabs/Gunners/Boros Gravetide Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Iron Citadel Skill SO.asset,0|0|-0.35,6,0.2,The forest still breathes with us|Fog keeps old secrets safe|Roots and steel grow stronger together|This armor remembers every stand|Green still shelters humanity|I like the sound of leaves at rest|The earth knows we are here|These trees saw worse than this|Life always pushes back|The jungle has not forgotten us,Good footing *name*|You stood firm *name*|That heart will carry you far *name*|The forest favors you *name*|Strong spirit *name*|You protected what matters *name*|Well held *name*|That resolve shows *name*|I would stand beside you again *name*|You did right *name*,Careful *name* the ground shifts|Do not rush *name*|You left yourself open *name*|Steady now *name*|That step was careless *name*|The fog punishes haste *name*|Brace yourself *name*|Hold your ground *name*|You nearly fell *name*|Focus *name*,Stand behind me|Roots hold fast|I have you|They break here|The line holds|Push through the fog|Nothing passes|Stay close|We endure|For those still hiding,4000,1000,0,0,0,0,0,0,0,0,0,0,0,1,1|10|0|20.20408;50|1000|20.20408|0,Health|Damage,,"Health,FlatAdd,5,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_09,Maia Korrin,"A volcanic enforcer who channels her own body heat into weaponized fury. Maia thrives in battle’s chaos, seeing order only in destruction. She trusts flame over faith, it never lies.",CinderwatchBastion,Aggressive,Tank,Elite,Assets/Sprites/Gunners/Maia.jpg,Assets/Resources/Prefabs/Gunners/Maia Korrin Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Heat Management Skill SO.asset,0|0|-0.35,6,0.2,Heat keeps my blood honest|Silence before the burn|Fire never hesitates|The ash smells right today|Pressure builds whether you like it or not|Flame tells the truth|I do not cool down|This steel will glow soon|Chaos always comes back|Let them test the heat,That burn was clean *name*|You feed the fire well *name*|I like that pressure *name*|They felt that one *name*|Good heat output *name*|You did not hold back *name*|That fury landed *name*|Strong follow through *name*|You match the flame *name*|Keep it burning *name*,Too soft *name*|That lacked heat *name*|Do not hesitate *name*|You let them breathe *name*|Turn it up *name*|That was weak *name*|They should be melting *name*|Push harder *name*|I expect more fire *name*|Again *name*,Burn them|Turn up the heat|No cooling off|Let it break|More fire|Melt everything|They burn now|Keep firing|Crack the line|Ash takes all,4000,1000,0,0,0,0,0,0,0,0,0,0,0,1,1|10|0|20.20408;50|1000|20.20408|0,Health|Damage,,"Health,FlatAdd,5,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
TRUE,GUN_10,Dr. Elias Crowe,"Once a scholar of biomechanical medicine, now a field surgeon of machines. Crowe experiments with frost energy to preserve life in the cold void. He sees the line between man and machine as negotiable.
",FrostvaultRefuge,Quiet,Mage,Elite,,Assets/Resources/Prefabs/Gunners/Dr. Elias Crowe Variant.prefab,,Assets/Resources/Scriptable Objects/Limit Breaks/Frost Infusion Skill SO.asset,0|0|-0.35,6,0.2,Cold slows decay|Preservation requires restraint|Life is more durable than believed|Frost clarifies structure|Stillness aids survival|The body adapts when guided|Machines heal differently|Time behaves better when frozen|Observation precedes action|This state is acceptable,Your response was efficient *name*|Stability maintained *name*|That outcome was favorable *name*|You adapted well *name*|Minimal loss *name*|Your control is noted *name*|That process held *name*|Acceptable preservation *name*|You function reliably *name*|That will suffice *name*,That was inefficient *name*|Structural loss detected *name*|You rushed the process *name*|Control degraded *name*|That choice reduced viability *name*|Temperature misjudged *name*|That will not preserve *name*|Instability rising *name*|You compromised integrity *name*|Reevaluate *name*,Begin preservation|Freeze response|Stabilize output|Reduce entropy|Contain damage|Cold applied|Sustain function|Limit loss|Maintain integrity|Survival continues,1750,3250,0,0,0,0,0,0,0,0,0,0,0,1,1|10|0|20.20408;50|1000|20.20408|0,Health|Damage,,"Health,FlatAdd,5,0,0;Damage,FlatAdd,1,0,0;FireRate,FlatAdd,0.05,0,0;Range,FlatAdd,0.5,0,0;PercentBonusDamagePerSec,FlatAdd,0.5,0,0;SlowEffect,FlatAdd,0.5,0,100;CriticalChance,FlatAdd,0.5,0,100;CriticalDamageMultiplier,FlatAdd,1,0,0;KnockbackStrength,FlatAdd,0.5,0,0;SplashDamage,FlatAdd,0.5,0,0;PierceChance,FlatAdd,0.5,0,100;PierceDamageFalloff,FlatAdd,0.5,0,0;ArmorPenetration,FlatAdd,0.5,0,100"
